main_match_id,source_key,date,home_team,away_team,home_goals,away_goals,ah,cover_status,home_tiros,away_tiros,home_tiros_a_puerta,away_tiros_a_puerta,home_ataques,away_ataques,home_ataques_peligrosos,away_ataques_peligrosos,home_red_cards,away_red_cards
2860747,h2h_general,,Cong An Ha Noi,FC Macarthur,1.0,1.0,0.5,NO CUBIERTO,13.0,10.0,4.0,1.0,182.0,129.0,127.0,84.0,,
2860783,last_home,02-10-2025,Pohang Steelers,Kaya FC,2.0,0.0,2,NO CUBIERTO,18.0,4.0,7.0,1.0,120.0,64.0,92.0,13.0,,
2860783,last_away,18-09-2025,Kaya FC,Tampines Rovers FC,0.0,3.0,0,indeterminado,18.0,10.0,2.0,4.0,63.0,65.0,58.0,53.0,,
2860783,h2h_general,,Tampines Rovers FC,Pohang Steelers,1.0,0.0,-1,NO CUBIERTO,10.0,20.0,6.0,8.0,48.0,105.0,22.0,92.0,,
2868588,last_home,26-10-2025,Al-Nasar,Al-Jahra,0.0,1.0,0.25,indeterminado,9.0,5.0,4.0,4.0,126.0,116.0,74.0,66.0,,
2868588,last_away,27-09-2025,Kazma,Al-Arabi Club (KUW),0.0,0.0,-0.75,NO CUBIERTO,9.0,4.0,4.0,2.0,77.0,131.0,41.0,56.0,,
2868588,h2h_col3,,Al-Jahra,Kazma,2.0,2.0,-,indeterminado,3.0,20.0,3.0,4.0,83.0,131.0,28.0,83.0,,
2868588,h2h_general,,Al-Arabi Club (KUW),Al-Nasar,2.0,1.0,1.75,NO CUBIERTO,12.0,3.0,5.0,1.0,116.0,82.0,69.0,26.0,,
2868991,last_home,05-10-2025,Dreams Metro Gallery,Sui Tung,1.0,1.0,1.25,NO CUBIERTO,13.0,14.0,5.0,7.0,61.0,48.0,50.0,47.0,,
2868991,last_away,05-10-2025,Kwai Tsing District FA,Tuen Mun Football Team,2.0,1.0,0.25,indeterminado,14.0,5.0,4.0,3.0,97.0,66.0,66.0,31.0,,
2868991,h2h_general,,Dreams Metro Gallery,Tuen Mun Football Team,0.0,1.0,0.75,NO CUBIERTO,7.0,8.0,3.0,2.0,109.0,96.0,67.0,49.0,1.0,0.0
2874858,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2883328,last_home,,Club Guabira,Always Ready,3.0,2.0,-,NEUTRO,16.0,8.0,6.0,3.0,71.0,94.0,34.0,29.0,1.0,0.0
2883328,last_away,,Always Ready,Aurora,4.0,2.0,-,NEUTRO,14.0,10.0,8.0,4.0,70.0,56.0,43.0,15.0,,
2883328,h2h_general,,Aurora,Club Guabira,0.0,2.0,-,NEUTRO,23.0,15.0,5.0,7.0,119.0,48.0,60.0,31.0,,
2885000,last_home,29-09-2025,Miramar Misiones FC,Defensor Sporting Montevideo,0.0,0.0,-0.25,indeterminado,3.0,4.0,1.0,1.0,77.0,86.0,58.0,65.0,,
2885000,last_away,27-09-2025,Cerro Largo,CA Penarol,1.0,3.0,-0.75,CUBIERTO,4.0,7.0,1.0,6.0,100.0,118.0,45.0,62.0,,
